seed,retain_accuracy,forget_accuracy,test_accuracy
0,0.9998979591836735,0.941,0.949
1,0.9999183673469387,0.935,0.9438
2,0.9998979591836735,0.936,0.946
3,0.9998775510204082,0.942,0.9479
4,0.9998571428571429,0.941,0.9449
5,0.9998367346938776,0.946,0.9426
6,0.9998163265306123,0.937,0.9431
7,0.9999183673469387,0.935,0.9417
8,0.9999591836734694,0.942,0.9467
9,0.9997755102040816,0.946,0.9378
10,0.9998775510204082,0.946,0.9432
11,0.9997755102040816,0.941,0.9453
12,0.9998571428571429,0.941,0.946
13,0.9997959183673469,0.934,0.9464
14,0.9998367346938776,0.939,0.9456
15,0.9998979591836735,0.942,0.9426
16,0.9997755102040816,0.95,0.9456
17,0.9999591836734694,0.942,0.9406
18,0.9999183673469387,0.933,0.9496
19,0.9998163265306123,0.933,0.9437
20,0.9998979591836735,0.943,0.9436
21,0.9998571428571429,0.939,0.9436
22,0.9999183673469387,0.925,0.9465
23,0.9998571428571429,0.947,0.9445
24,0.9999183673469387,0.94,0.9479
25,0.9997959183673469,0.932,0.9394
26,0.9999183673469387,0.935,0.9436
27,0.9998571428571429,0.942,0.9442
28,0.999938775510204,0.954,0.9451
29,0.9998775510204082,0.937,0.9443
30,0.9998775510204082,0.936,0.9462
31,0.999938775510204,0.936,0.9495
32,0.9998979591836735,0.946,0.9432
33,0.9998775510204082,0.947,0.9455
34,0.9998163265306123,0.935,0.9429
35,0.999938775510204,0.936,0.946
36,0.9999183673469387,0.941,0.9415
37,0.9998979591836735,0.943,0.9441
38,0.9998571428571429,0.935,0.9449
39,0.9998571428571429,0.944,0.945
40,0.9997959183673469,0.936,0.9476
41,0.999938775510204,0.94,0.9442
42,0.9998571428571429,0.944,0.9482
43,0.9999183673469387,0.931,0.9467
44,0.9998979591836735,0.939,0.9426
45,0.9998979591836735,0.935,0.9448
46,0.9998979591836735,0.944,0.9448
47,0.9999591836734694,0.942,0.9487
48,0.9997551020408163,0.938,0.9449
49,0.9998775510204082,0.944,0.9456
50,0.9999183673469387,0.941,0.9487
51,0.9998979591836735,0.944,0.9479
52,0.9998979591836735,0.941,0.9407
53,0.9998775510204082,0.939,0.9485
54,0.9998775510204082,0.937,0.9434
55,0.999938775510204,0.936,0.9445
56,0.9998979591836735,0.944,0.9428
57,0.999938775510204,0.941,0.9386
58,0.9998979591836735,0.937,0.9442
59,0.9998775510204082,0.937,0.9465
60,0.9999183673469387,0.942,0.9476
61,0.9999183673469387,0.931,0.9402
62,0.9999183673469387,0.94,0.9428
63,0.9998367346938776,0.939,0.9473
64,0.9998571428571429,0.943,0.9419
65,0.9998979591836735,0.935,0.9428
66,0.9999591836734694,0.939,0.9484
67,0.9998979591836735,0.937,0.9407
68,0.9998979591836735,0.928,0.9428
69,0.9998979591836735,0.937,0.9465
70,0.999938775510204,0.939,0.9467
71,0.9996734693877551,0.949,0.9427
72,0.9998163265306123,0.94,0.9411
73,0.9998571428571429,0.939,0.9451
74,0.9997959183673469,0.944,0.9439
75,0.9999795918367347,0.939,0.9457
76,0.9999183673469387,0.944,0.9411
77,0.9999183673469387,0.947,0.9498
78,0.9999183673469387,0.939,0.9426
79,0.9998979591836735,0.938,0.9458
