seed,retain_accuracy,forget_accuracy,test_accuracy
0,0.9993061224489795,0.946,0.9522
1,0.9994489795918368,0.951,0.9497
2,0.9992448979591837,0.943,0.9497
3,0.9994285714285714,0.947,0.9509
4,0.9990204081632653,0.95,0.9487
5,0.9993061224489795,0.942,0.9511
6,0.999,0.944,0.9503
7,0.9990816326530613,0.947,0.9483
8,0.9993877551020408,0.946,0.9526
9,0.998938775510204,0.939,0.9441
10,0.999061224489796,0.95,0.9492
11,0.9989591836734694,0.947,0.9503
12,0.9993061224489795,0.95,0.9516
13,0.9992857142857143,0.941,0.9507
14,0.9989795918367347,0.94,0.9482
15,0.9993469387755102,0.948,0.9487
16,0.9992244897959184,0.946,0.9492
17,0.9991428571428571,0.944,0.9472
18,0.9993061224489795,0.951,0.9531
19,0.9990816326530613,0.948,0.9514
20,0.9992857142857143,0.956,0.9487
21,0.999,0.952,0.9512
22,0.9993877551020408,0.944,0.9532
23,0.9989795918367347,0.951,0.9495
24,0.9990204081632653,0.943,0.949
25,0.9991836734693877,0.944,0.9464
26,0.999061224489796,0.943,0.95
27,0.9991224489795918,0.941,0.9481
28,0.9992857142857143,0.957,0.948
29,0.998938775510204,0.947,0.9495
30,0.9990204081632653,0.947,0.9521
31,0.9992040816326531,0.939,0.9507
32,0.9988571428571429,0.948,0.95
33,0.9993061224489795,0.947,0.9528
34,0.9986734693877551,0.948,0.951
35,0.9991836734693877,0.944,0.9499
36,0.999265306122449,0.946,0.9505
37,0.9992244897959184,0.945,0.9494
38,0.9990204081632653,0.949,0.9476
39,0.9991428571428571,0.953,0.9519
40,0.9991836734693877,0.944,0.9529
41,0.9988979591836735,0.95,0.9514
42,0.9994285714285714,0.945,0.9509
43,0.9994285714285714,0.934,0.9527
44,0.9991020408163265,0.955,0.9517
45,0.9991428571428571,0.947,0.9498
46,0.9991020408163265,0.946,0.95
47,0.9992040816326531,0.947,0.9519
48,0.9991224489795918,0.946,0.9501
49,0.9992244897959184,0.947,0.953
50,0.9990408163265306,0.946,0.9476
51,0.9991224489795918,0.942,0.9505
52,0.9991428571428571,0.948,0.9494
53,0.9992244897959184,0.944,0.9513
54,0.999,0.942,0.9477
55,0.9993673469387755,0.942,0.9496
56,0.9994489795918368,0.96,0.9481
57,0.9991020408163265,0.946,0.9459
58,0.9991428571428571,0.947,0.9523
59,0.9992857142857143,0.942,0.9482
60,0.9995102040816326,0.95,0.9504
61,0.9991836734693877,0.937,0.9469
62,0.9989795918367347,0.946,0.9465
63,0.9989591836734694,0.953,0.9532
64,0.9990408163265306,0.944,0.9506
65,0.9991428571428571,0.945,0.9486
66,0.9994081632653061,0.936,0.9491
67,0.998734693877551,0.942,0.9461
68,0.9992448979591837,0.939,0.9478
69,0.9990816326530613,0.939,0.9541
70,0.9994489795918368,0.949,0.952
71,0.9988979591836735,0.956,0.9488
72,0.9988571428571429,0.941,0.9454
73,0.9992244897959184,0.945,0.9514
74,0.9990408163265306,0.949,0.9501
75,0.9991836734693877,0.945,0.9476
76,0.9991428571428571,0.948,0.9497
77,0.9993061224489795,0.948,0.9534
78,0.9991632653061224,0.943,0.9487
79,0.9993469387755102,0.947,0.9514
