seed,retain_accuracy,forget_accuracy,test_accuracy
0,0.9830612244897959,0.971,0.9252
1,0.9828571428571429,0.975,0.9276
2,0.9820612244897959,0.979,0.9293
3,0.9821020408163266,0.975,0.9246
4,0.9823673469387755,0.973,0.9255
5,0.9817755102040816,0.975,0.9249
6,0.9818163265306122,0.973,0.9262
7,0.9825918367346939,0.975,0.9267
8,0.9822857142857143,0.97,0.9251
9,0.9826530612244898,0.98,0.9274
10,0.9820408163265306,0.981,0.9253
11,0.9814693877551021,0.97,0.9269
12,0.9824489795918367,0.978,0.9274
13,0.9811020408163266,0.973,0.927
14,0.982204081632653,0.976,0.9271
15,0.9833061224489796,0.976,0.9281
16,0.9818979591836735,0.977,0.9252
17,0.982734693877551,0.975,0.9258
18,0.982265306122449,0.979,0.9255
19,0.981938775510204,0.976,0.9255
20,0.9825714285714285,0.977,0.9246
21,0.9816938775510204,0.972,0.9243
22,0.9829591836734693,0.976,0.9271
23,0.9828367346938776,0.974,0.9258
24,0.9815918367346939,0.973,0.9229
25,0.9822448979591837,0.975,0.9246
26,0.9818571428571429,0.968,0.927
27,0.9823469387755102,0.978,0.9256
28,0.9825918367346939,0.973,0.9266
29,0.9826734693877551,0.977,0.9265
30,0.9824081632653061,0.973,0.9245
31,0.982,0.98,0.9281
32,0.9823673469387755,0.972,0.9256
33,0.9808571428571429,0.968,0.9263
34,0.9824489795918367,0.976,0.9261
35,0.9823673469387755,0.974,0.9275
36,0.9819795918367347,0.977,0.9266
37,0.9825306122448979,0.971,0.9264
38,0.9831632653061224,0.973,0.9271
39,0.9814693877551021,0.977,0.9259
40,0.9821632653061224,0.975,0.926
41,0.9815918367346939,0.971,0.9252
42,0.980734693877551,0.968,0.9268
43,0.9825102040816327,0.975,0.9268
44,0.9817755102040816,0.975,0.9269
45,0.9822857142857143,0.979,0.928
46,0.9814489795918367,0.97,0.9254
47,0.9828163265306122,0.978,0.9268
48,0.9816938775510204,0.971,0.9279
49,0.982734693877551,0.967,0.9273
50,0.9823469387755102,0.972,0.9267
51,0.9817142857142858,0.974,0.9264
52,0.9821020408163266,0.969,0.929
53,0.9821836734693877,0.976,0.9274
54,0.9825510204081632,0.98,0.9248
55,0.9816734693877551,0.978,0.9278
56,0.9816530612244898,0.974,0.9246
57,0.9814285714285714,0.975,0.9242
58,0.9824081632653061,0.976,0.9287
59,0.9818163265306122,0.981,0.9263
60,0.9824897959183674,0.971,0.9255
61,0.9822448979591837,0.981,0.9258
62,0.9818979591836735,0.978,0.9292
63,0.9826530612244898,0.97,0.9252
64,0.9824897959183674,0.978,0.9254
65,0.9821224489795919,0.972,0.9246
66,0.982326530612245,0.974,0.9253
67,0.9825510204081632,0.97,0.9259
68,0.9811428571428571,0.971,0.9255
69,0.9823877551020408,0.971,0.9257
70,0.9826530612244898,0.977,0.9246
71,0.9806122448979592,0.977,0.9244
72,0.982265306122449,0.977,0.9266
73,0.9826530612244898,0.982,0.9263
74,0.9821020408163266,0.976,0.9253
75,0.981938775510204,0.972,0.9284
76,0.9818979591836735,0.981,0.9273
77,0.9813061224489796,0.971,0.9259
78,0.9824285714285714,0.98,0.9256
79,0.9824081632653061,0.974,0.925
