seed,retain_accuracy,forget_accuracy,test_accuracy
0,1.0,0.91,0.9446
1,1.0,0.912,0.9433
2,0.9999795918367347,0.901,0.9426
3,0.9999591836734694,0.913,0.944
4,0.9999795918367347,0.913,0.9415
5,0.9999795918367347,0.911,0.9434
6,1.0,0.905,0.9399
7,0.9999795918367347,0.916,0.9428
8,0.9999591836734694,0.914,0.947
9,0.9999795918367347,0.909,0.9397
10,0.9999795918367347,0.914,0.9447
11,0.9999795918367347,0.912,0.9413
12,0.9999795918367347,0.918,0.9429
13,0.9999795918367347,0.909,0.9449
14,0.9999591836734694,0.911,0.9447
15,0.9999795918367347,0.913,0.9446
16,1.0,0.919,0.9401
17,1.0,0.917,0.9416
18,0.999938775510204,0.911,0.944
19,0.9999795918367347,0.918,0.9446
20,1.0,0.918,0.9433
21,0.9999795918367347,0.903,0.9436
22,0.9999183673469387,0.902,0.9442
23,1.0,0.922,0.9431
24,1.0,0.916,0.9438
25,0.999938775510204,0.913,0.9395
26,1.0,0.907,0.943
27,1.0,0.908,0.9423
28,0.9999795918367347,0.92,0.9383
29,1.0,0.904,0.9422
30,1.0,0.915,0.9441
31,0.9999795918367347,0.916,0.9445
32,0.9999795918367347,0.918,0.9415
33,0.9999795918367347,0.905,0.9439
34,0.9999795918367347,0.911,0.9447
35,0.999938775510204,0.911,0.9444
36,0.9999795918367347,0.92,0.9415
37,1.0,0.914,0.943
38,0.9999795918367347,0.918,0.9398
39,0.9999795918367347,0.916,0.9453
40,0.9999795918367347,0.907,0.9452
41,1.0,0.913,0.9471
42,0.9999591836734694,0.914,0.9416
43,0.9999591836734694,0.901,0.9434
44,1.0,0.911,0.9427
45,0.9999795918367347,0.912,0.9421
46,0.9999795918367347,0.905,0.9398
47,1.0,0.912,0.9433
48,0.9999591836734694,0.907,0.9414
49,0.9999795918367347,0.909,0.9442
50,0.9999591836734694,0.907,0.9429
51,1.0,0.911,0.9471
52,0.9999591836734694,0.915,0.9426
53,0.9999795918367347,0.919,0.9469
54,1.0,0.912,0.9451
55,0.9999795918367347,0.915,0.9443
56,0.9999795918367347,0.912,0.9429
57,0.9999795918367347,0.917,0.9394
58,1.0,0.903,0.943
59,1.0,0.913,0.9425
60,1.0,0.916,0.945
61,0.9999795918367347,0.903,0.9406
62,0.9999795918367347,0.903,0.9407
63,1.0,0.914,0.9462
64,1.0,0.911,0.9452
65,0.9999795918367347,0.903,0.942
66,0.9999795918367347,0.905,0.9411
67,0.9999591836734694,0.899,0.9418
68,1.0,0.899,0.9441
69,0.999938775510204,0.9,0.9475
70,1.0,0.912,0.9454
71,0.9999795918367347,0.92,0.9424
72,1.0,0.908,0.9417
73,0.9999795918367347,0.91,0.9432
74,1.0,0.907,0.9422
75,0.9999795918367347,0.915,0.9424
76,1.0,0.908,0.9416
77,0.9999795918367347,0.914,0.9443
78,1.0,0.906,0.9413
79,1.0,0.912,0.9453
