seed,retain_accuracy,forget_accuracy,test_accuracy
0,1.0,0.939,0.9543
1,0.9999795918367347,0.945,0.9498
2,1.0,0.942,0.9507
3,0.9999795918367347,0.944,0.9509
4,1.0,0.945,0.95
5,0.9999591836734694,0.937,0.9507
6,0.9999795918367347,0.949,0.9506
7,0.9999795918367347,0.94,0.9482
8,1.0,0.95,0.953
9,0.9999591836734694,0.94,0.9449
10,1.0,0.948,0.9501
11,0.9999795918367347,0.938,0.9513
12,1.0,0.95,0.952
13,1.0,0.935,0.9506
14,0.9999795918367347,0.937,0.9496
15,0.9999795918367347,0.946,0.9493
16,0.9999795918367347,0.947,0.949
17,1.0,0.945,0.9492
18,0.9999795918367347,0.944,0.9541
19,0.9999795918367347,0.947,0.9518
20,1.0,0.949,0.9478
21,1.0,0.944,0.9517
22,1.0,0.942,0.9523
23,1.0,0.954,0.9502
24,1.0,0.944,0.952
25,0.9999795918367347,0.939,0.9477
26,1.0,0.94,0.9509
27,0.9999795918367347,0.941,0.9472
28,0.9999795918367347,0.955,0.9485
29,1.0,0.938,0.9482
30,1.0,0.946,0.9517
31,0.9999795918367347,0.941,0.9517
32,1.0,0.945,0.9501
33,1.0,0.95,0.954
34,1.0,0.946,0.9501
35,1.0,0.946,0.9504
36,0.9999591836734694,0.943,0.9493
37,1.0,0.944,0.9506
38,1.0,0.949,0.9486
39,1.0,0.951,0.951
40,0.9999795918367347,0.942,0.9525
41,1.0,0.949,0.9513
42,0.9999795918367347,0.949,0.9518
43,1.0,0.935,0.9526
44,1.0,0.949,0.9514
45,1.0,0.945,0.9507
46,1.0,0.946,0.9482
47,1.0,0.946,0.952
48,0.9999591836734694,0.941,0.9507
49,1.0,0.944,0.9534
50,0.9999795918367347,0.939,0.9509
51,1.0,0.941,0.9511
52,0.9999591836734694,0.942,0.9501
53,1.0,0.944,0.9523
54,1.0,0.941,0.9502
55,1.0,0.938,0.9495
56,1.0,0.952,0.9497
57,1.0,0.943,0.9466
58,0.9999795918367347,0.946,0.9526
59,1.0,0.947,0.9495
60,0.9999795918367347,0.95,0.9493
61,0.9999795918367347,0.939,0.9474
62,1.0,0.944,0.9476
63,1.0,0.951,0.9525
64,0.9999591836734694,0.944,0.9513
65,1.0,0.948,0.9508
66,1.0,0.936,0.9492
67,0.9999795918367347,0.94,0.947
68,1.0,0.937,0.9484
69,1.0,0.943,0.9548
70,1.0,0.95,0.9525
71,0.9999795918367347,0.945,0.9518
72,1.0,0.942,0.9465
73,1.0,0.947,0.9516
74,0.9999591836734694,0.949,0.9501
75,1.0,0.945,0.9468
76,1.0,0.948,0.9484
77,1.0,0.946,0.9536
78,1.0,0.942,0.9494
79,1.0,0.946,0.9514
